campbell,:campbell: Campbell,,,
charlestonsouthern,:charlestonsouthern: Charleston Southern,,,
gardnerwebb,:gardnerwebb: Gardner-Webb,,,
hampton,:hampton: Hampton,,,
kennesawstate,:kennesawstate: Kennesaw State,,,
monmouth,:monmouth: Monmouth,,,
northalabama,:northalabama: North Alabama,,,
presbyterian,:presbyterian: Presbyterian,,,
albany,:albany: Albany,,,
deleware,:deleware: Deleware,,,
elon,:elon: Elon,,,
jamesmadison,:jamesmadison: James Madison,,,
maine,:maine: Maine,,,
newhampshire,:newhampshire: New Hampshire,,,
rhodeisland,:rhodeisland: Rhode Island,,,
richmond,:richmond: Richmond,,,
stonybrook,:stonybrook: Stony Brook,,,
towson,:towson: Towson,,,
villanova,:villanova: Villanova,,,
williammary,:willammary: Willam & Mary,,,
brown,:brown: Brown,,,
columbia,:columbia: Columbia,,,
cornell,:cornell: Cornell,,,
dartmouth,:dartmouth: Dartmouth,,,
harvard,:harvard: Harvard,,,
pennsylvania,:pennsylvania: Pennsylvania,,,
princeton,:princeton: Princeton,,,
yale,:yale: Yale,,,
bethunecookman,:bethunecookman: Bethune-Cookman,,,
delawarestate,:delawarestate: Delaware State,,,
floridaam,:floridaam: Florida A&M,,,
howard,:howard: Howard,,,
morganstate,:morganstate: Morgan State,,,
norfolkstate,:norfolkstate: Norfolk State,,,
northcarolinaat,:northcarolinaat: North Carolina A&T,,,
nccu,:nccu: NCCU,,,
southcarolinastate,:southcarolinastate: South Carolina State,,,
illinoisstate,:illinoisstate: Illinois State,,,
indianastate,:indianastate: Indiana State,,,
missouristate,:missouristate: Missouri State,,,
northdakotastate,:northdakotastate: North Dakota State,,,
northerniowa,:northerniowa: Northern Iowa,,,
southdakota,:southdakota: South Dakota,,,
southdakotastate,:southdakotastate: South Dakota State,,,
southernillinois,:southernillinois: southernillinois,,,
westernillinois,:westernillinois: westernillinois,,,
youngstownstate,:youngstownstate: youngstownstate,,,
bryant,:bryant: bryant,,,
ccsu,:ccsu: ccsu,,,
duquesne,:duquesne: duquesne,,,
liu,:liu: LIU,,,
merrimack,:merrimack: Merrimack,,,
robertmorris,:robertmorris: Robert Morris,,,
sacredheart,:sacredheart: Sacred Heart,,,
stfrancis,:st.francis: St. Francis,,,
wagner,:wagner: Wagner,,,
austinpeay,:austinpeay: Austin Peay,,,
easternillinois,:easternillinois: Eastern Illinois,,,
easternkentucky,:easternkentucky: Eastern Kentucky,,,
jacksonvillestate,:jacksonvillestate: Jacksonville State,,,
murraystate,:murraystate: Murray State,,,
southeastmissouri,:southeastmissouri: Southeast Missouri,,,
tennesseestate,:tennesseestate: Tennessee State,,,
tennesseetech,:tennesseetech: Tennessee Tech,,,
utmartin,:utmartin: UT Martin,,,
bucknell,:bucknell: Bucknell,,,
colgate,:colgate: Colgate,,,
fordham,:fordham: Fordham,,,
georgetown,:georgetown: Georgetown,,,
holycross,:holycross: Holy Cross,,,
lafayette,:lafayette: Lafayette,,,
lehigh,:lehigh: Lehigh,,,
butler,:butler: Butler,,,
davidson,:davidson: Davidson,,,
dayton,:dayton: Dayton,,,
drake,:drake: Drake,,,
jacksonville,:jacksonville: Jacksonville,,,
marist,:marist: Marist,,,
moreheadstate,:moreheadstate: Morehead State,,,
sandiego,:sandiego: San Diego,,,
stetson,:stetson: Stetson,,,
valparaiso,:valparaiso: Valparaiso,,,
chattanooga,:chattanooga: Chattanooga,,,
easttennesseestate,:easttennesseestate: East Tennessee State,,,
furman,:furman: Furman,,,
mercer,:mercer: Mercer,,,
samford,:samford: Samford,,,
citadel,:citadel: Citadel,,,
vmi,:vmi: VMI,,,
westerncarolina,:westerncarolina: Western Carolina,,,
wofford,:wofford: Wofford,,,
abilenechristian,:abilenechristian: Abilene Christian,,,
centralarkansas,:centralarkansas: Central Arkansas,,,
